track_id,track_name,artist_name,album_name,popularity,genero_etiqueta,origen_plataforma,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_secciones,num_compases,num_tiempos_beats,densidad_tatum,youtube_vistas,youtube_likes,youtube_engagement_rate
65H6t1WQBim6q93yM8fEwn,Obsesion,Aventura,We Broke The Rules,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,9,100,400,1.76,14998109,251360,1.68
6WxUEdsuCDosoVMTkjBGEO,Perdóname,Anthony Santos,Bachata Hits,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,9,111,444,1.89,15161422,310612,2.05
0IQd0K2zn6tJ1cXs6FkO9J,Corazón Duro,Anthony Santos,Bachata Hits,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,9,119,476,2.15,473225,12809,2.71
64zjvItFmkY8Q96tcmGQ6n,Tu Eres Ajena - Bachata,Frank Reyes,Amor En Silencio,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,9,112,450,1.75,14969260,575289,3.84
0OgX5NA7KFx8FCr5W0HYl9,Medicina De Amor,Raulin Rodriguez,Medicina De Amor,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,9,127,509,2.28,492991,12635,2.56
0wDEs6WvqDHq4XJZC0dHhO,Hoja En Blanco,Monchy & Alexandra,Hoja en Blanco,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,8,100,400,1.89,980032,29037,2.96
03If6rHLpna58qtKOeaM1a,Hoja En Blanco,Monchy & Alexandra,Clasicas De Clasicos,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,8,119,476,2.29,980032,29037,2.96
5PVIX3YNy8K4JCEJ5vHumg,Desnuda,Jhonny Evidence,Jhonny Evidence Clasicos de la Bachata,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,7,112,450,2.09,120059548,4583035,3.82
6HzT1LKu9UfsGebengbuL3,Salsa Hits,Digi Underground,Salsa Underground,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,8,194,779,2.42,339153,13576,4.0
2n1MTLCis6qPSDKdr5XSDI,Oh Qué Será?,Willie Colón,Greatest Hits,0,Salsa,Spotify,0.711,0.874,0,-6.068,0,0.078,0.194,0.00188,0.074,0.622,188.0,187543,10,146,587,2.53,300134413,5552992,1.85
7N2EL3zGpc4ULQzwhtMc0i,Ahnelo,Adolescent's Orquesta,"Salsa Hits, Vol. 3",0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,12,149,596,2.97,85467263,2508804,2.94
1BK353EYyBMkDd80kmfrqA,Ese Hombre,LA INDIA,Dicen Que Soy,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,9,152,609,2.59,8032175,334809,4.17
6sna5KCgNbt1ciZtVJCjzx,Gotas De Lluvia,Grupo Niche,20th Anniversary,0,Salsa,Spotify,0.727,0.881,6,-5.409,1,0.034,0.11,0.00354,0.158,0.897,192.3,231415,12,185,741,2.88,8182485,207901,2.54
2naqSVQHgiaoEpxtkVOhmK,Llorarás,La Dimensión Latina,Una Dimensión De Éxitos,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,10,194,779,2.42,85424478,3719806,4.35
0zDO5avDZSXRwWzfuguIRb,Llorarás,La Dimensión Latina,Dimensión Latina '75,0,Salsa,Spotify,0.711,0.874,0,-6.068,0,0.078,0.194,0.00188,0.074,0.622,188.0,187543,12,146,587,2.92,85424478,3719806,4.35
3Em4X4dWNxYeUz6fs2vXFB,Clásicos 1.0: Entrega,Grupo Niche,Clásicos 1.0: Entrega,0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,10,149,596,2.94,550137,24726,4.49
2IK8XNORtvCXSA7fSsvUAX,Por Alguien Que Se Fue - En Vivo,Luisito Carrion,Clasicos En Vivo,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,9,152,609,2.54,7966142,196604,2.47
1I970TLahlOjJcsTJkWXC9,Y Contigo Quebraditas 2: Claridad,Miguel Angel Tzul y su Marimba Orquesta,Puro Movimiento Guatemala Hits,0,Quebradita,Spotify,0.706,0.938,9,-5.198,1,0.056,0.069,0.00601,0.215,0.733,256.3,243097,13,259,1038,3.29,15499013,485003,3.13
4E52Up0mp4Hk8NHZoEY4pr,Y Contigo Quebraditas 2: La María,Miguel Angel Tzul y su Marimba Orquesta,Puro Movimiento Guatemala Hits,0,Quebradita,Spotify,0.664,0.889,7,-6.269,1,0.052,0.021,0.00732,0.095,0.818,253.3,208744,9,220,881,3.25,59997605,1630484,2.72
5bplj8Ru03egmXd8YyCN3r,La Quebradita,Banda Arkangel R-15,22 Ultimate Regional Mexican Hits 2002,0,Quebradita,Spotify,0.74,0.963,8,-5.523,0,0.05,0.018,0.00821,0.097,0.684,257.8,237062,9,254,1018,3.7,60309272,1604333,2.66
3za8FDAJerSMdXCYagA3av,El Quebrador,Banda Movil,Ahy Te Va Kora,0,Quebradita,Spotify,0.664,0.889,7,-6.269,1,0.052,0.021,0.00732,0.095,0.818,253.3,208744,12,220,881,3.65,15422970,258850,1.68
6r46lnXFbE9fr2d3KNaGbe,Imitadora,Romeo Santos,Golden,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,7,100,400,1.69,120352764,3522850,2.93
6I86RF3odBlcuZA9Vfjzeq,Eres Mía,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,9,111,444,1.85,878237,17461,1.99
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,Rauw Alejandro,Cosa Nuestra,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,1.62,964750,14555,1.51
3DKWF8is9hzp84aSxnhlag,Necio (feat. Carlos Santana),Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,6,112,450,1.82,836882,24318,2.91
27ze5t5tIDPlVits0KRbxT,El Perdedor,Aventura,K.O.B. Live,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,9,100,400,2.26,120109017,2802766,2.33
2Bhmj4XK33InfhqKPxcJ1v,Dile al Amor,Aventura,The Last,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,7,111,444,1.67,120499997,2114467,1.75
0HDHY6RSHHG2ZTE0cMT4GJ,Los Infieles,Aventura,K.O.B. Live,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,1.78,15181854,440868,2.9
37zdqI4r1gswIzczSBkRon,Aventura,Lunay,Épico,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,7,112,450,1.96,450181037,8331439,1.85
0u4N6w5lBw5xMrzJitRWUo,Corazón Sin Cara,Prince Royce,Prince Royce,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,7,127,509,1.8,450323846,7791614,1.73
0DQd0tWurMHUAv0cMnDELH,Stand by Me,Prince Royce,Prince Royce,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,6,111,444,2.19,450236534,10094142,2.24
06EgH8BdWW9QRrlI6ZVQhW,El Amor Que Perdimos,Prince Royce,Prince Royce,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,1.73,119951235,2289355,1.91
6cJLfIqwh0tCKRjYM3WpZ5,Darte un Beso,Prince Royce,Soy el Mismo,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,8,112,450,2.17,15030244,368092,2.45
0UoAcG1vxtFjes7rZz8Js0,Burbujas de Amor,Juan Luis Guerra 4.40,Bachata Rosa,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,6,127,509,1.68,14976351,507964,3.39
0K1XXuhaJBPWMcgjj3ug3u,Las Avispas,Juan Luis Guerra 4.40,Para Ti,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,7,100,400,2.17,15473783,383821,2.48
5fF0fb0VFihGDHFshDLi2Z,Mi Bendición,Juan Luis Guerra 4.40,Asondeguerra,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,8,111,444,1.94,120476957,2607701,2.16
4PHX6bpHDxiR9RGzAKWcyk,Cuando Me Enamoro,Enrique Iglesias,Euphoria,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,2.17,587278,12466,2.12
3lQJF8QzeMyrGVbc46KieQ,Abriendo Caminos (feat. Juan Luis Guerra),Diego Torres,Andando,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,7,112,450,1.91,120185478,3700160,3.08
0gSBSVrek88L0xnSUQwlst,El Intruso,Zacarias Ferreira,El Amor,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,6,127,509,1.85,713452,19672,2.76
5hhMqFyklLrysNN3KGnQub,Dime Que Falto,Zacarias Ferreira,Dime Que Falto,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,9,111,444,2.27,479669,11660,2.43
0Ihu6hcj4hrWVz22W3G10P,Es Tan Difícil,Zacarias Ferreira,Dime Que Falto,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,8,119,476,1.98,693027,13566,1.96
1CIUos10Or0tFaf4ZhaSfW,Ya No Te Buscaré,Zacarias Ferreira,El Amor,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,9,112,450,1.86,15188132,496678,3.27
38nwdi1gZfoXsDFrk4eSF4,Como Sanar,Frank Reyes,Noche de Pasión,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,8,127,509,2.23,450200687,7229151,1.61
0D0hqpMEi4aHukh8zP5gSF,Quién Eres Tu,Frank Reyes,Cuando Se Quiere Se Puede,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,8,100,400,2.09,450418540,11879813,2.64
06YEsAMgIA37hKjmdBhmrE,Fecha de Vencimiento,Frank Reyes,Devuélveme Mi Libertad,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,8,111,444,1.75,449993556,14199082,3.16
5ABUWUrqYGMXbF8qCZ5zF9,Princesa,Frank Reyes,Dosis De Amor,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,1.68,449975800,10984976,2.44
5Xg9feC7RNaUO5x3Ns0yyE,No Ha Sido Facil,Monchy & Alexandra,Hoja en Blanco,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,8,127,509,2.01,15115120,538857,3.57
1zqs4qqfvaYHL6LBjW4NNA,Dos Locos,Monchy & Alexandra,Confesiones,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,9,100,400,2.25,450042396,16204852,3.6
1R86zyuubq0Q1GV1OfweIj,Te Quiero Igual Que Ayer - Bachata,Monchy & Alexandra,Confesiones,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,6,119,476,2.18,15261865,541791,3.55
5a59VvSEZ84xc83eh5adjv,Perdidos,Monchy & Alexandra,Exitos,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,8,112,450,2.19,120483831,2280880,1.89
3od2tKXDGzRyZEtX6KWXK7,Tarde Te Arrepientes,Luis Vargas,Desamor,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,9,127,509,1.66,677749,21118,3.12
0NnwEPjfSBJ9lHnck0g1Up,Volvio el Dolor,Luis Vargas,Volvio el Dolor,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,7,100,400,2.22,450209219,14487641,3.22
6QBbQb4bimQ6wYp6AaGKAg,La Traicionera,Luis Vargas,La Maravilla,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,7,111,444,2.11,474931,18439,3.88
39Ym1jtz6xZbHNBP6tKQFd,Lo Se,Luis Vargas,En Persona,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,6,119,476,2.26,15012418,286493,1.91
1dZe54pxTPI1XsISVTR6ns,Debate De 4,Romeo Santos,Fórmula Vol. 1 (Deluxe Edition),0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,8,112,450,1.85,120226259,3702559,3.08
4ZcjNfK9Df94vbT43Gm8dt,Corazón Culpable,Anthony Santos,Cojelo Ahí,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,6,127,509,2.03,15370223,353795,2.3
7oJ5gMtXIjVyx9plzoFkHU,Donde Estará,Anthony Santos,Corazón Bonito,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,6,100,400,2.23,808716,25905,3.2
1soZPkNYncKsVnSk18OGTP,Yo Me Muero Por Ti,Anthony Santos,La Batalla,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,7,111,444,1.68,120439642,2992415,2.48
7HaClGfBO8BJmPivCvrFGU,"Popurri Clásico, Vol. 1 - En Vivo",Anthony Santos,"Popurri Clásico, Vol. 1 (En Vivo)",0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,2.01,15081185,552276,3.66
7jkIwEJXP3nmTO3fsCJmnS,Perdóname la Vida,"Héctor Acosta ""El Torito""",The Ultimate Bachata Collection,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,7,127,509,1.93,450021458,14084050,3.13
5LaOePNL1J2kjhmj98xKif,Si Estuvieras Aquí,Los Toros Band,Indetenibles,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,7,100,400,2.02,120205641,4166506,3.47
3rIgo725niu2yb3WNx62Jt,Me Duele La Cabeza,"Héctor Acosta ""El Torito""",Oblígame,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,6,111,444,2.23,15085334,272388,1.81
5OPyNWzLKvIaA28IxLWeaN,Aprenderé,"Héctor Acosta ""El Torito""",Oblígame,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,9,119,476,2.28,682512,22500,3.3
3ucH40KXUWWQ5pFw2685G8,Me Voy (feat. Romeo Santos),"Héctor Acosta ""El Torito""",Mitad Mitad,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,9,112,450,1.75,939082,24739,2.63
2qZSeh6H7pUzKeT9emAd86,Me Puedo Matar (feat. Bachata Heightz),"Héctor Acosta ""El Torito""",Simplemente... El Torito,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,8,100,400,2.08,15060553,458211,3.04
1wfxSvHq3cdzmOHZejMkci,Me Voy - Bachata,"Héctor Acosta ""El Torito""",La Historia…Mis Éxitos,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,8,111,444,2.14,610185,14085,2.31
0ismvscPZLCkVjcaKorYJB,El Torito,Grupo Ferrer,El Torito,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,8,119,476,1.99,831011,20996,2.53
3icyq85xgCVpavwlz6WWYq,Me Voy,"Héctor Acosta ""El Torito""",Sigo Siendo Yo,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,7,112,450,1.6,14956809,508770,3.4
3qZULPvg5Ak4zQCeBIY5d1,Amor De Mi Vida,Raulin Rodriguez,Si No Te Tengo,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,6,100,400,1.96,829192,13995,1.69
4GqF1OeM18jaUiCs56JR5s,Nereyda,Raulin Rodriguez,Regresa Amor,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,7,111,444,1.99,642243,18228,2.84
4NfwBgmzmzx8WpyIy9C6p7,Que Vuelva,Raulin Rodriguez,Medicina De Amor,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,8,119,476,1.6,120173197,2402530,2.0
4X5md810XK7lCIALua0KZL,BACHATA SENSUAL VOL 1,ImDjAngelo,BACHATA SENSUAL VOL 1,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,8,127,509,1.77,120412671,3305345,2.75
1pBbngBQJ47HBwj0xxUc4o,Bachata Sensual,Dani J,Tentación,0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,8,100,400,2.12,15038715,236575,1.57
0ERbK7qVqveCaBWIiYCrl3,Bella y Sensual,Romeo Santos,Golden,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,9,111,444,1.82,15394759,472864,3.07
5oXrPMZu37AYOhtLO7l0Gf,Bachata Tiempo,Pau Hernandez,Bachata Tiempo,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,9,112,450,1.63,450165188,11247635,2.5
47TyfLrGhYHHyyQWk64d0M,Flor Pálida,Marc Anthony,3.0,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,8,194,779,2.71,85001305,3680073,4.33
7ffwRz8lZyDOE4Vj58Lo72,I Need to Know,Marc Anthony,Marc Anthony,0,Salsa,Spotify,0.711,0.874,0,-6.068,0,0.078,0.194,0.00188,0.074,0.622,188.0,187543,8,146,587,2.68,85171997,3516336,4.13
0OMRAvrtLWE2TvcXorRiB9,La Gozadera (feat. Marc Anthony),Gente De Zona,Visualízate,0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,10,149,596,2.46,84956760,1847944,2.18
7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,Daddy Yankee,De Vuelta Pa' La Vuelta,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,8,152,609,2.73,300146889,6779677,2.26
5Uve0jm1RgxKWzdSvncBDO,El Cantante,Héctor Lavoe,Comedia,0,Salsa,Spotify,0.727,0.881,6,-5.409,1,0.034,0.11,0.00354,0.158,0.897,192.3,231415,11,185,741,2.7,300095963,6489279,2.16
336Xdyzllb9WbJIC8XF90t,Juanito Alimaña,Héctor Lavoe,Vigilante,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,9,194,779,2.77,300320043,5228563,1.74
7Kmfjms3yyhg2y56mN7EfZ,El Día De Mi Suerte,Willie Colón,Lo Mato,0,Salsa,Spotify,0.711,0.874,0,-6.068,0,0.078,0.194,0.00188,0.074,0.622,188.0,187543,9,146,587,2.94,7954768,319631,4.02
2w780pCHPCVOVo32GxSeXp,Periódico de Ayer - Remastered 2024,Héctor Lavoe,De Ti Depende (Remastered 2024),0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,11,149,596,2.74,84956097,2337869,2.75
5sR8QlZ63YSyrbOIUdqHFt,Loco,Héctor Lavoe,Strikes Back,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,9,152,609,2.74,682606,10686,1.57
6VQ2fI8goSX8mpSvytXkXR,Idilio,Willie Colón,Mis Favoritas,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,10,194,779,2.72,300473351,10775942,3.59
3AEYUEiJmINFScwCkWHSV4,La Murga,Willie Colón,Greatest Hits,0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,11,149,596,2.52,8273518,222661,2.69
3fRIuTih8bzc0vtY9fHhvF,Talento De Televisión,Willie Colón,Mis Favoritas,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,12,152,609,2.7,300200315,8329496,2.77
7JElWLgpQ7lxN1JNIYwuVu,Que Alguien Me Diga,Gilberto Santa Rosa,Expresion,0,Salsa,Spotify,0.727,0.881,6,-5.409,1,0.034,0.11,0.00354,0.158,0.897,192.3,231415,9,185,741,2.73,8388091,337600,4.02
05K2YWeCYYBgPWFj8TT4uK,Conciencia,Gilberto Santa Rosa,El Caballero De La Salsa - La Historia Tropical,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,9,194,779,2.71,535261,17966,3.36
